Round,Table,Players,Decks,Winner
Round 1,-,Adrian Shalchi He/Him,Izzet Prowess,Adrian Shalchi forfeited the match
Round 1,-,superbainer He/Him,Jeskai Control,superbainer was assigned a bye
Round 1,1,"Nemanja Karadzic
Thomas Nennich","Mono-Green Landfall
Bant Airbending",Nemanja Karadzic won 2-1-0
Round 1,2,"Mason Wong He/Him
Derek Pite","Izzet Spellementals
Izzet Lessons",Mason Wong won 2-0-0
Round 1,3,"Omar B
awilliams999","Dimir Midrange
Izzet Spellementals",awilliams999 won 2-1-0
Round 1,4,"Noel Herbert He/Him
DevW1","4c Elementals
Dimir Midrange",DevW1 won 2-1-0
Round 1,5,"Brian Thai
Dawson Courson He/Him","Dimir Midrange
Dimir Doomsday",Brian Thai won 2-0-0
Round 1,6,"Alex12
Guillighan","Golgari
Izzet Elementals",Alex12 won 2-1-0
Round 1,7,"keithcapstick
StevenU He/Him","Mono-Green Landfall
Azorius Control",keithcapstick won 2-0-0
Round 1,8,"Kyle Miller He/Him
Doria Keung She/Her","Izzet Elementals
Azorius",Kyle Miller won 2-0-0
Round 1,9,"Spencer Shaw Jaworek He/Him
Caleb Shannon He/Him","Jeskai Control
Bant Airbending",Spencer Shaw Jaworek won 2-1-0
Round 1,10,"Drew Christensen
ValentineW He/Him","Dimir Demons
Dimir Midrange",ValentineW won 2-1-0
Round 1,11,"Mark Weedon He/Him
RyanDesmarais","Dimir Demons
Mono-Green Landfall",Mark Weedon won 2-1-0
Round 1,12,"Todder007 He/Him
Kyle Gellert He/Him","Simic Ouroboroid
Jeskai Lessons",Kyle Gellert won 2-1-0
Round 1,13,"Zak Turchansky Other
NathanielK They/Them","Izzet Prowess
Izzet Lessons",NathanielK won 2-0-0
Round 1,14,"Anthony Frederiksson He/Him
Kevin Anctil He/Him","Naya Yuna
Mono-Green Landfall",Kevin Anctil won 2-0-0
Round 1,15,"NeilsonZhang
TommyG09","Dimir Midrange
Izzet Blink",TommyG09 won 2-1-0
Round 1,16,"Jozef Telecki
Ian Hancock He/Him","Izzet Lessons
Rakdos Aggro",Ian Hancock won 2-1-0
Round 1,17,"Young Zhou
Kevin Besta He/Him","Mono-Green Landfall
Izzet Prowess",Kevin Besta won 2-1-0
Round 1,18,"mgraesslin
Ken Darlington He/Him","Temur Landfall
Dimir Midrange",Ken Darlington won 2-1-0
Round 1,19,"Nikola Drazenovic He/They
Terabyne","Izzet Lessons
Izzet Spellementals",Nikola Drazenovic won 2-0-0
