Player,Deck,Rank
Will Krueger,Izzet Lessons,1
Elijah Herr,Simic Rhythm,2
Tyson Roylance,Bant Airbending,3
Moomkes,Izzet Elementals,4
Maxx Kominowski,Izzet Lessons,5
John Wager,Izzet Spellementals,6
Jason Reid,Izzet Spellementals,7
Philip Silberman,Mono-Green Landfall,8
Ryan Normandin,Dimir Excruciator,9
Prez Kuhnke,Izzet Lessons,10
TerryEdwards,Mono-Green Landfall,11
Neil Estrada,Mono-Green Landfall,12
Jack Yudt,Izzet Lessons,13
Gavin Meagher,Izzet Prowess,14
Haven Gilbert-Avila,Dimir Midrange,15
Jonathan Stange,Boros Dragons,16
Omri Khaykovich,Izzet Lessons,17
Evan Higgins,Izzet Spellementals,18
Robert Wagner Krankel,Izzet Prowess,19
Gavin Perry,Mono-Green Landfall,20
Allen Norman,Mono-Green Landfall,21
Amir Momin,Izzet Prowess,22
Vasilios Morikis,Mono-Green Landfall,23
Matt Xu,Mono-Green Landfall,24
BoshNRoll_Brian,Simic Rhythm,25
KevinK1,Izzet Lessons,26
Mae French,Izzet Lessons,27
Zach Flynn,Izzet Lessons,28
Tyler Steinwand,Izzet Elementals,29
Richard Nealston,Grixis Elementals,30
Austin Walker,Azorius Tempo,31
Michael DeBenedetto-Plummer,Dimir Excruciator,32
Sam Bogue,Mono-Green Landfall,33
Wentong Zhang,Boros Dragons,34
Alan Hubbard,Simic Rhythm,35
Chris Danis,Dimir Midrange,36
Rohit Golconda,Azorius Tempo,37
Angus Johnson,Izzet Spellementals,38
Joseph Puglisi,Temur Rhythm,39
Grayson Nemets,Simic Rhythm,40
Elle Ashby,Izzet Prowess,41
Joseph Nunez,Simic Rhythm,42
Joshua Willis,Izzet Lessons,43
Mike Gallichet,Izzet Prowess,44
Darkonekosuke,Mono-Green Landfall,45
Alex Wells,Temur Harmonizer,46
Ted Loewenthal,Mono-Green Landfall,47
Devon Straub,Dimir Excruciator,48
Evan Vetter,Dimir Excruciator,49
Jonayed Ahmed,Azorius Tempo,50
Zevin Faust,Azorius Tempo,51
Ronan Casey,Izzet Lessons,52
Charlie Dusterberg,Temur Harmonizer,53
Dana Fischer,Mono-Green Landfall,54
Jdt01381,Izzet Prowess,55
Christopher Henderson,Azorius Otters,56
sabastian daniels,Izzet Elementals,57
Matthew Bond,Izzet Prowess,58
Ryan Overturf,Izzet Prowess,59
Nathan Goldberg,Simic Rhythm,60
Sergeykr,Sultai Reanimator,61
AWaynee1337,Izzet Spellementals,62
wallace69,Izzet Lessons,63
Bruxx,Temur Harmonizer,64
Nathan Kirner,Jeskai Control,65
Christopher Kral,Azorius Tempo,66
Samuel Coleman,Dimir Midrange,67
Collins Mullen,Izzet Prowess,68
Berkley Gryder,Azorius Tempo,69
Danilo Prieto,Mono-Green Landfall,70
Alan Ke,Simic Rhythm,71
Ivan Espinosa,Bant Airbending,72
IsaakWard,Izzet Prowess,73
Icecreaam,Izzet Prowess,74
Jordan Vonderwell,Mono-Green Landfall,75
Samuel Braatz,Gruul Harmonizer,76
Christopher Turnbull,Izzet Lessons,77
Benji Solomon,Mono-Green Landfall,78
Greg Schafer,Dimir Midrange,79
Connor Mullaly,Simic Rhythm,80
Liam Etelson,Mono-Green Landfall,81
Julian Korfine,Dimir Excruciator,82
Gabriel Maxson,Izzet Lessons,83
Kristopher McNeill,Bant Airbending,84
Jerry Gao,Bant Airbending,85
ch4rm2nd0r,Mono-Red Aggro,86
Alex Poulosky,Izzet Prowess,87
Pete Williams,Rakdos Monument,88
Luce Sedania,Azorius Tempo,89
Raymond Menkov,Izzet Lessons,90
Brett Klyn,Izzet Prowess,91
Daniel Genova,Four-Color Rhythm,92
John Puglisi Clark,Mono-Green Landfall,93
mgarza,Boros Dragons,94
Bradley Schlesinger,Izzet Elementals,95
Jeff Pyka,Grixis Monument,96
Adam Fischer,Mono-Green Landfall,97
Michael Almasy,Izzet Spellementals,98
Hotgirlz,Boros Dragons,99
Pete Ingram,Mono-Green Landfall,100
Jordan Selesnick,Dimir Midrange,101
Isaac Murray-Stark,Izzet Spellementals,102
Slavisa Tosanovic,Dimir Bounce,103
John Slimak,Temur Rhythm,104
Fletcher Johnson,Izzet Lessons,105
Samuel Potter,Dimir Midrange,106
Ethan Kolby,Izzet Lessons,107
Zachary Aymie,Izzet Elementals,108
Trevor Sharp,Izzet Lessons,109
Daniel Will,Dimir Control,110
Slater Claudel,Simic Rhythm,111
JodyK,Bant Omniscience,112
Harrison Kanfer,Izzet Lessons,113
Simon Kamerow,Boros Dragons,114
Jakob Pablo,Izzet Lessons,115
Austin Clark,Izzet Prowess,116
Kevin Thanakit,Dimir Midrange,117
Damian Del Nero,Simic Rhythm,118
dirk_mathews0263,Boros Dragons,119
Kasey Jarvis,Simic Rhythm,120
Gabriel Nicholas,Izzet Prowess,121
Camari Bolger,Temur Harmonizer,122
Richard LIU,Izzet Otters,123
Jacob DuBois,Bant Airbending,124
Conor Panuccio,Izzet Lessons,125
William Hahn,Temur Harmonizer,126
Andrew Zemke,Mono-Green Landfall,127
Trevor Dalrymple,Dimir Excruciator,128
BrandonBurks,Sultai Control,129
RileyLBJ,Dimir Control,130
Nico Ferrigno,Mono-Green Landfall,131
Hunter Ovington,Mono-Green Landfall,132
Aleksander Jones,Azorius Tempo,133
Keegan Wolohan,Izzet Spellementals,134
jpmitnik,Izzet Elementals,135
Leonard Routh,Izzet Prowess,136
Talonflame23185,Mono-Green Landfall,137
Jon Kennedy,Azorius Tempo,138
Reed Johnston,Grixis Elementals,139
Craig Rocco,Golgari Midrange,140
Garland Muller,Dimir Midrange,141
Paul Green,Izzet Spellementals,142
Jackson McMillan,Gruul Landfall,143
Douglas Bailey,Mono-Green Landfall,144
David Dufour,Boros Dragons,145
john norman,Mono-Red Aggro,146
Evan Heritage,Izzet Lessons,147
Clinton Martin,Izzet Spellementals,148
GKraeft,Esper Pixie,149
Trenton Hawes,Dimir Excruciator,150
FDiesel01,Gruul Landfall,151
Kai Nankoe,Mono-Green Landfall,152
Ben Bauer,Mono-Red Aggro,153
Steve Cassity,Mono-Green Landfall,154
Luke Deratzou,Izzet Lessons,155
Zane Toledo,Izzet Spellementals,156
Gabriel Joglar,Dimir Excruciator,157
Nick Deriu,Four-Color Control,158
Tim Wilson,Mono-Green Landfall,159
Sasson Batatt,Dimir Midrange,160
Thatcher Koenecke,Azorius Tempo,161
Robert Pounds,Rakdos Monument,162
Brian Rogers,Izzet Lessons,163
Jackisch,Dimir Midrange,164
Bob Culp,Dimir Excruciator,165
James Dimitrov,Izzet Lessons,166
J.D. Emerick,Boros Dragons,167
Graham Tarling,Gruul Landfall,168
Pedro da Silva,Dimir Midrange,169
Will Kowalczyk,Izzet Lessons,170
Fanchen Yang,Izzet Elementals,171
Terry Stratton,Sultai Rhythm,172
Harrison Harp,Jeskai Control,173
RobertFalk,Azorius Tempo,174
Joseph Countryman,Mono-Green Landfall,175
Anibal Z,Izzet Lessons,176
Dylan Morgan,Dimir Midrange,177
Will Harms,Dimir Midrange,178
Patrick Albergo,Izzet Elementals,179
JoePanthor,Jeskai Dragons,180
Parker Goff,Dimir Excruciator,181
Jason Cornell,Izzet Prowess,182
Drew Weissmann,Selesnya Landfall,183
djstillio,Izzet Lessons,184
Justin Brickman,Dimir Excruciator,185
Logan Hulley,Izzet Elementals,186
Jacob Mitchell-Rabaey,Izzet Blink,187
Sanggu Lee,Dimir Excruciator,188
Izaak van Til,Izzet Prowess,189
James Drake,Izzet Lessons,190
Mickey Cushing,Dimir Excruciator,191
Kevin Farrell,Mono-Green Landfall,192
travis bryant,Boros Dragons,193
Nick Osterude,Izzet Lessons,194
Tristan Pouloaky,Mono-Green Landfall,195
robert seder,Dimir Excruciator,196
Chris Hamilton,Mono-Green Landfall,197
Teddy Froelich,Dimir Midrange,198
Michael Gwynn,Grixis Elementals,199
Jess Williams,Izzet Lessons,200
rick schaffer,Azorius Otters,201
Tyler Bird,Mono-Green Landfall,202
ericmarkel,Mono-Red Aggro,203
Tysen Sample,Dimir Midrange,204
Aaron Lewis,Azorius Tempo,205
Michael Moore,Dimir Midrange,206
Wyatt Gibson,Simic Rhythm,207
Vaughn Weirens,Mono-Green Landfall,208
Andrei Ionov,Mono-Red Aggro,209
Ashersf,Izzet Looting,210
